id;goal_description;goal_category;goaltype;goal_set_by;employee_id;appraisal_review_id;status;company_id;last_modified;last_modified_by
1;Cambridgeshire infrastructures;withdrawal;User-friendly;Vermont;31955;94796;Communications AGP;84681;2023-06-05T09:48:55;Buckinghamshire target encompassing
2;Baby neural invoice;Indian;workforce JBOD protocol;firewall Soft;93453;15062;Rubber;55054;2023-06-05T09:16:18;withdrawal Wyoming
3;Berkshire 4th;experiences;Card Product;Credit turquoise markets;2364;52666;flexibility whiteboard;34512;2023-06-04T16:03:27;functionalities Ports
4;Soft;Italy Common;Investor systematic;structure Fords;67504;88739;port eco-centric Principal;81938;2023-06-05T00:05:45;Networked Movies bypassing
5;bluetooth;Escudo Cambridgeshire copying;connect;deposit;41781;97723;Berkshire;45725;2023-06-05T04:47:53;revolutionize Bhutan Movies
6;Costa budgetary Credit;seize Chicken;circuit THX;Triple-buffered multimedia;60975;93443;payment leading-edge Falls;18617;2023-06-04T22:05:34;discrete
7;whiteboard;Web Rubber grid-enabled;lavender fresh-thinking yellow;Lira Books;20621;6475;SMS;24540;2023-06-04T19:47:05;Road Architect Zambian
8;Gorgeous;bluetooth invoice Sausages;Incredible redundant;Concrete;86929;63225;Security Brunei blue;47280;2023-06-04T12:42:46;Identity 1080p Internal
9;Cliffs;navigating;Account Reactive array;Strategist up;87989;88785;Rustic teal;92647;2023-06-04T20:38:32;PCI Tobago CSS
10;Handcrafted Manager;Open-architected;Steel;system Regional Planner;63886;97072;Mountains;72534;2023-06-04T12:31:01;Zealand Steel
