id;employee_id;status;company_id;last_modified;last_modified_by
1;30467;Cotton Regional;25395;2023-06-05T06:30:13;indigo
2;94780;payment;88712;2023-06-04T20:08:10;Account Salvador overriding
3;40481;Rican 1080p Programmable;72472;2023-06-04T23:38:42;partnerships
4;81146;withdrawal Architect;58304;2023-06-04T17:35:26;monetize override Refined
5;19008;Bike state;22971;2023-06-05T08:23:24;partnerships Berkshire Wyoming
6;41630;Intelligent implement conglomeration;14326;2023-06-04T22:17:44;HDD dedicated
7;28331;AGP Account;76920;2023-06-05T00:18:22;Account Brooks aggregate
8;12112;harness Directives FTP;93234;2023-06-04T18:17:49;disintermediate synthesize
9;80410;Specialist;1861;2023-06-04T19:46:02;Factors
10;54147;cross-media;47553;2023-06-05T03:40:19;Team-oriented
