id;answer_flag;description;employee_id;appraisal_review_id;available_points;scored_points;remark;status;company_id;last_modified;last_modified_by
1;false;Point mission-critical;72476;11200;60061;63923;Usability;Dollar payment PNG;89010;2023-06-04T23:48:45;compress Ball Tasty
2;false;Pennsylvania Ergonomic;66954;8723;6231;32186;Bahamian Coordinator deposit;Indiana Metal invoice;69515;2023-06-04T13:12:09;hacking Dominica Garden
3;false;copy;87768;99977;36844;59571;Developer Village Shirt;Senior;39240;2023-06-04T20:01:02;index
4;false;Soap Marshall tangible;85560;37150;12579;49349;Virtual scalable Libyan;Borders Industrial;23862;2023-06-04T13:04:54;deliverables parse
5;true;RSS;3102;24136;7511;34899;Internal;reinvent Licensed Rustic;78954;2023-06-04T14:46:16;Keyboard Bike Yemen
6;true;lavender online;84127;52424;90810;75055;Direct Card Illinois;impactful Realigned;51873;2023-06-05T08:49:19;navigate
7;false;Berkshire payment Lead;72539;99251;48029;37482;digital Steel;Engineer FTP;51043;2023-06-05T12:13:17;deposit Chief one-to-one
8;true;card Metrics;67671;53034;81345;91703;Colorado multi-tasking;Nauru Hat;53786;2023-06-05T01:04:01;deposit Granite
9;true;Ridge;46338;27463;51790;12803;Cambridgeshire;Frozen;46326;2023-06-04T19:06:00;niches Avon
10;false;Table Corporate;62283;78860;88945;13819;bandwidth Sausages;Supervisor;72044;2023-06-04T20:47:13;invoice
