id;appraisal_review_id;employee_remark;appraiser_remark;reviewer_remark;self_scored;scored_by_appraiser;scored_by_reviewer;appraisal_status;submission_date;appraisal_date;review_date;status;company_id;last_modified;last_modified_by;target;target_achived
1;15913;Investor;Strategist;enterprise encompassing;Planner Place Granite;optimal Configuration model;Rubber;lime infrastructures sensor;2023-06-05T01:55:38;2023-06-04T20:05:28;2023-06-05T05:20:27;asynchronous Metical Tactics;31902;2023-06-05T03:08:12;strategize;52750;59318
2;43295;reboot Automotive;revolutionize;Beauty withdrawal;connecting;Borders plum optical;Fantastic;Soap capacitor;2023-06-05T04:46:00;2023-06-04T21:15:27;2023-06-05T09:01:18;interface infrastructures;72666;2023-06-04T21:18:42;connect;68045;5585
3;84924;Pennsylvania Palladium;technologies SQL;Dakota;matrix Movies matrices;Automotive Texas;Fish Developer;Rubber Fantastic Rubber;2023-06-05T07:49:23;2023-06-04T18:42:06;2023-06-05T04:15:29;Industrial Inlet;14539;2023-06-05T06:40:30;Tactics Small;85984;18180
4;81443;Shirt gold index;SMS disintermediate;transmit Electronics;card withdrawal interface;mindshare;protocol Industrial Caribbean;New Cambridgeshire;2023-06-05T04:23:40;2023-06-05T01:27:09;2023-06-04T15:39:00;systematic Graphical;41904;2023-06-04T13:26:41;Incredible Intelligent Steel;86567;3642
5;303;lime monitor Robust;Response Nevada Light;Bike Salvador;Cotton 1080p;Ergonomic online Keyboard;implement;neural protocol Dinar;2023-06-04T13:48:22;2023-06-05T11:55:04;2023-06-05T03:27:40;Bacon purple navigating;44344;2023-06-04T15:24:46;SDD Greece blockchains;21332;26951
6;7995;Practical Granite;fuchsia;Planner invoice SAS;Baby blue Plastic;Refined Central;Beauty Nebraska;circuit;2023-06-05T12:18:04;2023-06-05T09:00:45;2023-06-04T13:57:27;Practical;29688;2023-06-05T11:37:57;program quantifying compress;33657;55481
7;56099;enable Compatible;open-source;violet Louisiana initiative;HTTP Jersey bus;Plastic intermediate Enhanced;digital;Shoal methodology;2023-06-05T02:16:42;2023-06-05T07:40:58;2023-06-04T12:26:33;Loop;28232;2023-06-04T16:38:37;Cambridgeshire Wooden Grass-roots;12416;89509
8;65456;state Light Gloves;redundant Sleek bluetooth;copying;Loan Generic;portals maroon;hard;Fresh Dakota array;2023-06-05T12:07:25;2023-06-05T11:16:17;2023-06-04T13:03:48;Poland;3952;2023-06-05T03:56:02;e-markets Avon Berkshire;92973;1785
9;36536;Singapore Namibia Grocery;silver Kroon;Streets Games;enterprise Mountains;Georgia;maroon Consultant SSL;cross-platform 1080p;2023-06-05T09:37:57;2023-06-05T08:03:56;2023-06-04T18:17:11;neutral;41964;2023-06-05T00:55:09;lime array;17893;76942
10;80593;Steel;Savings;Ergonomic Sleek;Sweden interface Berkshire;driver HTTP New;Human Granite;Checking web-readiness;2023-06-05T09:04:00;2023-06-04T20:55:54;2023-06-04T13:53:37;Handmade experiences Comoros;70418;2023-06-04T13:38:54;cross-platform e-markets;82107;84603
