id;comment;comment_type;appraisal_review_id;ref_form_name;status;company_id;last_modified;last_modified_by
1;protocol Synergized foreground;Buckinghamshire Mission Credit;36867;lime;Representative capacitor;81512;2023-06-04T13:07:17;sensor application brand
2;hacking Minor;cross-platform Kids;79990;synthesizing;global;58943;2023-06-04T23:52:49;AGP multi-state
3;Nebraska;Platinum;69806;Awesome Officer Regional;indexing calculating;51852;2023-06-05T08:06:22;SDR GB Licensed
4;moratorium Plastic;Avenue Som;88033;Accounts Awesome;Rial hub;92800;2023-06-04T15:18:24;SMS
5;Generic parsing National;Garden Steel generate;86740;Berkshire high-level;AGP Re-engineered;63801;2023-06-04T20:37:48;mesh Response
6;Marketing Avenue networks;bus Garden Franc;31874;Executive Cambridgeshire SAS;West Kids Loan;36869;2023-06-04T18:31:52;parsing Chips data-warehouse
7;calculate structure cross-media;program innovate;22;core;open-source Virginia;56732;2023-06-05T05:38:39;Mississippi
8;projection Enhanced;salmon backing;54301;UAE Buckinghamshire;microchip implementation;9124;2023-06-04T23:04:50;Zimbabwe Electronics withdrawal
9;Metal;Pants Steel;6224;Idaho Buckinghamshire Multi-layered;PNG methodology;38595;2023-06-04T23:29:09;revolutionary
10;web-readiness;integrated Berkshire Corporate;81685;motivating mindshare groupware;Awesome;58848;2023-06-05T02:26:03;navigate multi-byte Metal
