id;name;description;type;company_id;status;last_modified;last_modified_by
1;Azerbaijanian;quantify;redundant Frozen Gorgeous;12426;Sleek;2023-06-04T19:27:23;scale users
2;Granite;value-added;Administrator invoice;8678;payment cross-media implementation;2023-06-04T15:05:48;copying Wooden
3;Customer Bacon Assimilated;synthesizing leverage application;Group Chips compressing;45588;HDD;2023-06-05T00:07:16;hacking
4;homogeneous;Music;PNG;60588;program ADP Direct;2023-06-04T18:33:50;index brand
5;Plastic Berkshire;Kids Dobra;Gloves Shirt;53720;Interactions global communities;2023-06-04T12:53:31;sensor Account
6;Horizontal;protocol Keyboard override;multi-state Incredible;16446;utilisation interactive;2023-06-05T04:44:08;Liaison
7;Sausages IB bricks-and-clicks;THX;static driver Buckinghamshire;62263;niches;2023-06-04T13:18:28;Table
8;Taka Forge mint;Fantastic Grocery;lime;83374;Configuration;2023-06-05T05:55:19;bypassing Kentucky
9;AI facilitate;Loan;digital fuchsia;72365;invoice;2023-06-05T11:25:19;deposit Kansas
10;cohesive Savings;XML;SMTP;16334;Card;2023-06-05T10:01:56;groupware integrate Account
