id;category;type;name;description;weightage;status;company_id;last_modified;last_modified_by
1;bypass synergistic;Pants Open-source matrix;zero Bedfordshire;deliverables Account;62646;haptic Product array;31916;2023-06-04T20:42:51;Sports haptic needs-based
2;International matrix Shirt;Bike;Colombia Baby;Rubber analyzer;70655;and Toys;99784;2023-06-05T09:33:12;Berkshire heuristic programming
3;Gloves models Handmade;proactive lavender optical;Won;Expanded;53411;payment;59401;2023-06-04T20:48:34;Mouse Cheese Baby
4;Convertible;ADP Cambridgeshire;Sleek;transmitting program;89814;Synergized utilize;82438;2023-06-05T04:57:59;USB Credit
5;input;paradigms Global Soft;bricks-and-clicks emulation microchip;connect dot-com;23915;Rubber Checking;35986;2023-06-04T15:35:42;program
6;Director;Unbranded;parsing Meadow Tactics;Books;79427;invoice;71247;2023-06-05T05:05:19;Stravenue deposit
7;User-friendly focus metrics;index parse;Communications;Legacy;88103;compress Producer;93069;2023-06-05T03:49:18;Fresh hard
8;Chief killer;override Games;ivory Mandatory;bluetooth Technician;57760;Tanzania;52775;2023-06-04T13:47:11;PNG
9;Georgia;Internal bluetooth Legacy;quantifying;upward-trending;65730;payment;61741;2023-06-05T06:25:36;deposit infrastructure magenta
10;Specialist;RAM Monitored Ergonomic;orchestrate National South;Communications;54616;Multi-channelled iterate;7789;2023-06-05T10:45:02;Berkshire
