id;reporting_officer;ro_designation;status;company_id;last_modified;last_modified_by
1;copying Shoes harness;redundant Tasty;communities bluetooth;22346;2023-06-05T08:07:32;open redundant Market
2;Automotive azure;monetize Keyboard;generating Macedonia deposit;2245;2023-06-05T02:46:35;Diverse Planner
3;Bacon aggregate;channels Steel;program Salad Investment;36626;2023-06-04T22:28:51;Sharable
4;Bedfordshire olive;withdrawal Ergonomic Zloty;bypass;79561;2023-06-05T05:12:44;Account
5;installation program;Buckinghamshire Health relationships;disintermediate lavender Table;4298;2023-06-04T12:31:36;card Plastic
6;Planner Streamlined solution-oriented;Metal Suriname Investor;cross-platform withdrawal;85485;2023-06-04T18:54:10;Montenegro Tactics
7;virtual Texas Metal;Metal;panel networks;4551;2023-06-04T23:03:08;quantifying zero
8;CSS synergy Ergonomic;Research;Berkshire;11958;2023-06-04T22:53:55;exploit RAM bus
9;frictionless Club;Assistant embrace secured;Shoes Computers;9767;2023-06-05T05:48:33;best-of-breed Frozen Anguilla
10;SAS silver;Kids;transmitter input Pennsylvania;4828;2023-06-04T16:15:20;blue
